#{"t_start": 1730710221.010298, "env_id": "None"}
r,l,t
-99.18803,100,34.123419
-98.677913,100,34.188688
-98.285612,100,34.250958
-98.497048,100,34.311295
-98.383161,100,34.371126
-99.372678,100,35.796607
-99.287977,100,35.880104
-97.995002,100,35.958379
-98.768666,100,36.030433
-98.792093,100,36.102596
-98.495501,100,36.155109
-98.458427,100,36.206574
-98.532575,100,36.258365
-98.495501,100,36.30874
-98.458427,100,36.358327
-98.920829,100,36.432436
-98.140274,100,36.502684
-99.236717,100,36.576192
-98.912072,100,36.641927
-98.347205,100,36.708932
-97.38328,100,36.776233
-97.920854,100,36.844577
-97.474979,100,36.919399
-98.453537,100,36.992002
-97.38328,100,37.06234
-98.347205,100,37.114405
-98.458427,100,37.172531
-98.606723,100,37.22398
-98.476964,100,37.275653
-98.458427,100,37.327065
-99.1425,100,37.404824
-98.699408,100,37.474346
-97.38328,100,37.551275
-99.460953,100,37.622616
-98.826597,100,37.693988
-98.094123,100,39.258682
-98.402816,100,39.350535
-98.40823,100,39.447293
-98.671091,100,39.555532
-98.853891,100,39.651513
-99.015834,100,39.720744
-99.035918,100,39.789583
-99.091529,100,39.849992
-99.041582,100,39.914
-99.097966,100,39.977556
-98.57826,100,40.092873
-98.703275,100,40.180892
-98.298298,100,40.263571
-97.846706,100,40.348777
-99.219741,100,40.435597
-98.06915,100,40.524291
-99.339721,100,40.61222
-98.695815,100,40.690481
-98.285612,100,40.76873
-99.200955,100,40.848575
-99.010171,100,40.908603
-99.005281,100,40.966917
-99.022271,100,41.02663
-98.997297,100,41.086461
-99.097966,100,41.145415
-98.106224,100,41.228297
-99.323504,100,41.304153
-98.996773,100,41.375685
-97.438891,100,41.446305
-98.749077,100,41.516491
-99.302397,100,41.589413
-97.531576,100,43.534516
-99.158716,100,43.637512
-98.199682,100,43.737708
-97.754021,100,43.831923
-98.495501,100,43.903009
-98.514038,100,43.974017
-98.514038,100,44.047454
-98.588186,100,44.115567
-98.421353,100,44.18264
-98.932929,100,44.305718
-98.551112,100,44.400601
-98.458427,100,44.491074
-98.269047,100,44.579474
-98.755019,100,44.661524
-98.231866,100,44.744534
-98.570422,100,44.825846
-98.877069,100,44.906518
-98.60802,100,44.982187
-98.957132,100,45.05834
-98.458427,100,45.114554
-98.532575,100,45.174867
-98.365742,100,45.228518
-98.43989,100,45.283094
-98.569649,100,45.336665
-98.372178,100,45.41427
-97.904223,100,45.486264
-98.957654,100,45.556365
-98.616253,100,45.62209
-98.671465,100,45.688586
-98.84204,100,45.754062
-97.871027,100,47.31555
-97.816402,100,47.397416
-98.565532,100,47.475603
-98.21245,100,47.552222
-97.38328,100,47.607957
-97.38328,100,47.662628
-97.38328,100,47.715892
-97.38328,100,47.767743
-97.38328,100,47.820959
-97.62814,100,47.900414
-98.217446,100,47.973484
-97.679873,100,48.040985
-99.007851,100,48.107035
-98.255374,100,48.172327
-99.261105,100,48.235292
-97.481816,100,48.303178
-98.282719,100,48.37128
-98.235983,100,48.437708
-98.347205,100,48.502734
-97.38328,100,48.551329
-97.38328,100,48.601111
-97.38328,100,48.649459
-97.38328,100,48.698316
-97.38328,100,48.746753
-98.797746,100,48.817793
-98.189129,100,48.88407
-98.549672,100,48.946091
-97.475965,100,49.006425
-99.099513,100,49.067325
-98.310131,100,49.127935
-97.542291,100,49.187636
-97.48083,100,50.668882
-98.188062,100,50.754372
-99.206942,100,50.833835
-97.38328,100,50.890954
-97.38328,100,50.946669
-97.38328,100,51.001605
-97.38328,100,51.053643
-97.38328,100,51.109167
-98.529485,100,51.194952
-97.605725,100,51.262052
-98.662334,100,51.329519
-98.198909,100,51.394691
-98.57826,100,51.459423
-99.508625,100,51.522828
-97.602766,100,51.586052
-98.690152,100,51.656066
-97.999866,100,51.723289
-97.828169,100,51.811486
-97.38328,100,51.860284
-97.38328,100,51.923469
-97.38328,100,51.975163
-97.38328,100,52.054656
-97.38328,100,52.106448
-97.627154,100,52.186855
-98.773358,100,52.255628
-98.52291,100,52.32615
-98.779743,100,52.396407
-97.513039,100,52.460424
-98.230319,100,52.523106
-97.846706,100,52.585728
-98.684738,100,54.220369
-98.797746,100,54.362062
-98.198909,100,54.53101
-97.401817,100,54.634626
-97.475965,100,54.733928
-97.38328,100,54.82918
-97.38328,100,54.923739
-97.38328,100,55.019964
-98.717945,100,55.161785
-97.865243,100,55.260622
-99.014537,100,55.35399
-98.847704,100,55.442391
-98.84652,100,55.530167
-98.529485,100,55.632211
-97.754021,100,55.731975
-98.229146,100,55.846918
-97.475965,100,55.963482
-98.050613,100,56.068379
-97.38328,100,56.149299
-97.494502,100,56.217423
-97.38328,100,56.282722
-97.420354,100,56.349867
-97.38328,100,56.412904
-98.066126,100,56.576565
-98.773358,100,56.703051
-99.434726,100,56.805216
-98.186222,100,56.931786
-98.100013,100,57.086475
-97.697423,100,57.216937
-98.552047,100,57.32925
-98.458427,100,57.441255
-97.88963,100,59.337083
-99.033074,100,59.41369
-98.738802,100,59.470753
-98.845134,100,59.527768
-98.77665,100,59.5839
-98.957903,100,59.639926
-98.814497,100,59.695238
-97.846706,100,59.780099
-98.756566,100,59.851665
-98.43989,100,59.920176
-99.320161,100,59.988608
-99.177778,100,60.054751
-99.283087,100,60.125465
-98.882982,100,60.195916
-98.884778,100,60.268832
-98.895295,100,60.338841
-99.407956,100,60.407999
