#{"t_start": 1731492024.067815, "env_id": "None"}
r,l,t
-1000.0,1,1.894259
-1000.0,1,1.895417
-1000.0,1,1.896656
-1000.0,1,1.898356
-1000.0,1,1.900119
-1000.0,1,1.901968
-1000.0,1,1.903865
-1000.0,1,1.905943
-1000.0,1,1.907458
-1000.0,1,1.908699
-1000.0,1,1.90987
-1000.0,1,1.911041
-1000.0,1,1.912195
-1000.0,1,1.913648
-1000.0,1,1.915169
-1000.0,1,1.916978
-1000.0,1,1.918702
-1000.0,1,1.920542
-1000.0,1,1.922457
-1000.0,1,1.923876
-1000.0,1,1.925008
-1000.0,1,1.92603
-1000.0,1,1.927123
-1000.0,1,1.928357
-1000.0,1,1.929743
-1000.0,1,1.930582
-1000.0,1,1.931307
-1000.0,1,1.932505
-1000.0,1,1.934274
-1000.0,1,1.936002
-1000.0,1,1.937896
-1000.0,1,1.939977
-1000.0,1,1.941279
-1000.0,1,1.942352
-1000.0,1,1.943321
-1000.0,1,1.944315
-1000.0,1,1.945693
-1000.0,1,1.947019
-1000.0,1,1.947959
-1000.0,1,1.948865
-1000.0,1,1.950315
-1000.0,1,1.951952
-1000.0,1,1.953787
-1000.0,1,1.955725
-1000.0,1,1.95731
-1000.0,1,1.958539
-1000.0,1,1.9596
-1000.0,1,1.960672
-1000.0,1,1.961863
-1000.0,1,1.963262
-1000.0,1,1.964097
-1000.0,1,1.964865
-1000.0,1,1.966339
-1000.0,1,1.968023
-1000.0,1,1.969838
-1000.0,1,1.971807
-1000.0,1,1.973373
-1000.0,1,1.974537
-1000.0,1,1.975524
-1000.0,1,1.97647
-1000.0,1,1.977618
-1000.0,1,1.979019
-1000.0,1,1.979837
-1000.0,1,1.980518
-1000.0,1,1.981169
-1000.0,1,1.981916
-1000.0,1,1.983342
-1000.0,1,1.985238
-1000.0,1,1.987108
-1000.0,1,1.988956
-1000.0,1,1.990262
-1000.0,1,1.991488
-1000.0,1,1.992641
-1000.0,1,1.993705
-1000.0,1,1.995058
-1000.0,1,1.996828
-1000.0,1,1.998469
-1000.0,1,2.000086
-1000.0,1,2.001503
-1000.0,1,2.002843
-1000.0,1,2.004327
-1000.0,1,2.006099
-1000.0,1,2.00788
-1000.0,1,2.009837
-1000.0,1,2.012097
-1000.0,1,2.014251
-1000.0,1,2.015905
-1000.0,1,2.017366
-1000.0,1,2.018945
-1000.0,1,2.020599
-1000.0,1,2.022158
-1000.0,1,2.023535
-1000.0,1,2.025105
-1000.0,1,2.026908
-1000.0,1,2.028454
-1000.0,1,2.029944
-1000.0,1,2.03148
-1000.0,1,2.033203
-1000.0,1,2.035441
-1000.0,1,2.037279
-1000.0,1,2.039267
-1000.0,1,2.04079
-1000.0,1,2.04225
-1000.0,1,2.044004
-1000.0,1,2.045693
-1000.0,1,2.047052
-1000.0,1,2.048456
-1000.0,1,2.050102
-1000.0,1,2.051671
-1000.0,1,2.053232
-1000.0,1,2.054708
-1000.0,1,2.056246
-1000.0,1,2.057501
-1000.0,1,2.058573
-1000.0,1,2.059482
-1000.0,1,2.060654
-1000.0,1,2.061872
-1000.0,1,2.063253
-1000.0,1,2.064864
-1000.0,1,2.066498
-1000.0,1,2.068495
-1000.0,1,2.07085
-1000.0,1,2.072834
-1000.0,1,2.074557
-1000.0,1,2.075866
-1000.0,1,2.077011
-1000.0,1,2.07813
-1000.0,1,2.079189
-1000.0,1,2.080186
-1000.0,1,2.081292
-1000.0,1,2.08279
-1000.0,1,2.084502
-1000.0,1,2.085858
-1000.0,1,2.086735
-1000.0,1,2.087497
-1000.0,1,2.088218
-1000.0,1,2.088891
-1000.0,1,2.089775
-1000.0,1,2.090854
-1000.0,1,2.091654
-1000.0,1,2.092353
-1000.0,1,2.09303
-1000.0,1,2.093711
-1000.0,1,2.094384
-1000.0,1,2.095049
-1000.0,1,2.095741
-1000.0,1,2.096568
-1000.0,1,2.097306
-1000.0,1,2.097968
-1000.0,1,2.098914
-1000.0,1,2.09974
-1000.0,1,2.100435
-1000.0,1,2.101442
-1000.0,1,2.102459
-1000.0,1,2.103157
-1000.0,1,2.104138
-1000.0,1,2.104982
-1000.0,1,2.105644
-1000.0,1,2.106326
-1000.0,1,2.106967
